Municipality;Piped water availability;Main water supply source;Year;Occupied permanent private households
Rio de Janeiro (RJ);Total;Total;2022;2436971
Rio de Janeiro (RJ);Total;General distribution network;2022;2396945
Rio de Janeiro (RJ);Total;Deep or artesian well;2022;18934
Rio de Janeiro (RJ);Total;Shallow well / water table / cistern well;2022;1367
Rio de Janeiro (RJ);Total;Spring or natural source;2022;9531
Rio de Janeiro (RJ);Total;Water truck (tanker);2022;979
Rio de Janeiro (RJ);Total;Stored rainwater;2022;379
Rio de Janeiro (RJ);Total;Rivers, reservoirs, streams, lakes and creeks;2022;1007
Rio de Janeiro (RJ);Total;Other;2022;7829
Rio de Janeiro (RJ);Piped inside the house/apartment/dwelling;Total;2022;2411994
Rio de Janeiro (RJ);Piped inside the house/apartment/dwelling;General distribution network;2022;2379163
Rio de Janeiro (RJ);Piped inside the house/apartment/dwelling;Deep or artesian well;2022;16150
Rio de Janeiro (RJ);Piped inside the house/apartment/dwelling;Shallow well / water table / cistern well;2022;1123
Rio de Janeiro (RJ);Piped inside the house/apartment/dwelling;Spring or natural source;2022;8585
Rio de Janeiro (RJ);Piped inside the house/apartment/dwelling;Water truck (tanker);2022;702
Rio de Janeiro (RJ);Piped inside the house/apartment/dwelling;Stored rainwater;2022;207
Rio de Janeiro (RJ);Piped inside the house/apartment/dwelling;Rivers, reservoirs, streams, lakes and creeks;2022;960
Rio de Janeiro (RJ);Piped inside the house/apartment/dwelling;Other;2022;5104
Rio de Janeiro (RJ);Piped, but only on the property/lot;Total;2022;20751
Rio de Janeiro (RJ);Piped, but only on the property/lot;General distribution network;2022;17782
Rio de Janeiro (RJ);Piped, but only on the property/lot;Deep or artesian well;2022;1164
Rio de Janeiro (RJ);Piped, but only on the property/lot;Shallow well / water table / cistern well;2022;92
Rio de Janeiro (RJ);Piped, but only on the property/lot;Spring or natural source;2022;675
Rio de Janeiro (RJ);Piped, but only on the property/lot;Water truck (tanker);2022;80
Rio de Janeiro (RJ);Piped, but only on the property/lot;Stored rainwater;2022;39
Rio de Janeiro (RJ);Piped, but only on the property/lot;Rivers, reservoirs, streams, lakes and creeks;2022;25
Rio de Janeiro (RJ);Piped, but only on the property/lot;Other;2022;894
Rio de Janeiro (RJ);No piped water;Total;2022;4226
Rio de Janeiro (RJ);No piped water;General distribution network;2022;-
Rio de Janeiro (RJ);No piped water;Deep or artesian well;2022;1620
Rio de Janeiro (RJ);No piped water;Shallow well / water table / cistern well;2022;152
Rio de Janeiro (RJ);No piped water;Spring or natural source;2022;271
Rio de Janeiro (RJ);No piped water;Water truck (tanker);2022;197
Rio de Janeiro (RJ);No piped water;Stored rainwater;2022;133
Rio de Janeiro (RJ);No piped water;Rivers, reservoirs, streams, lakes and creeks;2022;22
Rio de Janeiro (RJ);No piped water;Other;2022;1831
